category_id,categorizable_id,categorizable_type
1,10,User
1,18,User
1,19,User
1,20,User
2,15,User
3,13,User
3,12,User
3,11,User
3,17,User
4,2,User
4,3,User
4,4,User
4,5,User
4,6,User
4,7,User
4,8,User
4,9,User
4,14,User
4,16,User
4,1,User
5,15,User
5,10,User
5,11,User
5,12,User
6,14,User
6,16,User
6,7,User
6,8,User
6,18,User
7,6,User
7,7,User
8,8,User
8,9,User
9,14,User
9,16,User
10,10,User
10,11,User
10,12,User
10,13,User
10,15,User
10,17,User
10,18,User
10,19,User
10,20,User
10,3,GuestLecture
10,5,GuestLecture
10,4,GuestLecture
10,6,GuestLecture
10,15,GuestLecture
10,16,GuestLecture
11,15,GuestLecture
11,16,GuestLecture
12,9,GuestLecture
12,10,GuestLecture
12,11,GuestLecture
12,12,GuestLecture
12,8,GuestLecture
12,1,GuestLecture
13,9,GuestLecture
13,10,GuestLecture
14,7,GuestLecture
15,11,GuestLecture
15,12,GuestLecture